Model,p,N_train,N_test,rf_win_prop,n_pairs,Method,mean_mse,sd_mse,skew_mse,kurt_mse,n_reps
A,12,50,50,0.466,1000,reg,1.35368731945523,0.307465350821682,0.515153895371538,0.396296348580319,1000
A,12,50,50,0.466,1000,rf,1.35189180021409,0.288855614898724,0.529738147771325,0.489565174117715,1000
A,12,100,100,0.17,1000,reg,1.15167958730473,0.173941599812433,0.344205347311519,0.1806983365587,1000
A,12,100,100,0.17,1000,rf,1.27471782662241,0.183541601616744,0.318774502160518,0.143441500797128,1000
A,12,500,500,0.001,1000,reg,1.02965180672535,0.0638437106307839,0.139012757160192,-0.113131177987604,1000
A,12,500,500,0.001,1000,rf,1.1633064176385,0.0740192058971067,0.251465769395742,0.234777392505759,1000
A,12,1000,1000,0,1000,reg,1.01306673915526,0.0470635758532434,-0.00345287685544432,-0.107777972389254,1000
A,12,1000,1000,0,1000,rf,1.1295065614706,0.0535642012237882,0.108969430482674,0.0311859823416913,1000
A,12,10000,10000,0,1000,reg,1.00104348913255,0.0136698624978918,0.0325593304316705,0.100594710438237,1000
A,12,10000,10000,0,1000,rf,1.06915202822655,0.0152628260433942,-0.0300243112899854,-0.0628169787743134,1000
A,24,30,30,0.981,1000,reg,6.87397056239877,4.91536438763951,2.44112582967224,9.00697400254465,1000
A,24,30,30,0.981,1000,rf,1.85946786986235,0.4898039543173,0.593292307067631,0.452629109125583,1000
A,24,50,50,0.671,1000,reg,2.03396082386673,0.602971694558492,1.34675941810391,3.70580425066938,1000
A,24,50,50,0.671,1000,rf,1.74512688458609,0.360750032355785,0.401077353187908,0.45222446449702,1000
A,24,100,100,0.114,1000,reg,1.32854433258457,0.203642462359035,0.507011870135967,0.898716654092395,1000
A,24,100,100,0.114,1000,rf,1.6343921716196,0.241706465318153,0.217604890685978,-0.179194692109377,1000
A,24,500,500,0,1000,reg,1.05246917264633,0.0665260181548259,0.202469625527759,0.0129877208595905,1000
A,24,500,500,0,1000,rf,1.45980534971297,0.0917454726660233,0.16387737006776,0.124619555701078,1000
A,24,1000,1000,0,1000,reg,1.02324344879098,0.0462837300439444,0.171215098400896,0.194322649297205,1000
A,24,1000,1000,0,1000,rf,1.40663141678469,0.066187905276512,0.0171886968071231,-0.0351774308511659,1000
A,24,10000,10000,0,980,reg,1.00231327522173,0.01388108744027,0.11396153447273,0.023669633487041,1000
A,24,10000,10000,0,980,rf,1.29774296920172,0.0182426979727096,0.0402174676361542,-0.0438989470434592,980
A,32,50,50,0.835,1000,reg,2.98775254309002,1.04633653265563,1.10541778255243,1.56428172872805,1000
A,32,50,50,0.835,1000,rf,2.04941052140754,0.413742021655072,0.606854766088593,0.460415609156321,1000
A,32,100,100,0.074,1000,reg,1.49854353465401,0.26590709315401,0.642060032352731,0.939303703501164,1000
A,32,100,100,0.074,1000,rf,1.93197616025794,0.276819988639742,0.259918331368162,0.159737110852629,1000
A,32,500,500,0,1000,reg,1.07112730592054,0.0710117056684677,0.09811450586841,0.0144736342366065,1000
A,32,500,500,0,1000,rf,1.71042733379921,0.115775036839478,0.309671011551203,0.0720375302041054,1000
A,32,1000,1000,0,1000,reg,1.0363941004738,0.0485670976128712,0.196829833739339,-0.13266879762736,1000
