Model,p,N_train,N_test,rf_win_prop,n_pairs,Method,mean_mse,sd_mse,skew_mse,kurt_mse,n_reps
B,6,1000,10000,1,1000,rf,6.1785190164229,0.601266321571745,0.18491563892525,0.580447079411704,1000
B,6,10000,10000,1,1000,reg,9.01043676981043,0.368930873986301,0.0598291883412302,-0.0022738348593232,1000
B,6,10000,10000,1,1000,rf,2.69393972265066,0.348631442194568,0.314621947015846,0.137823958887799,1000
B,12,15,10000,1,1000,reg,255.924007139944,1561.73617406259,24.3915124942454,674.526388202892,1000
B,12,15,10000,1,1000,rf,24.3116956948392,3.09335781643191,2.69291419660757,12.1688612204873,1000
B,12,30,10000,1,1000,reg,38.7830358000231,15.8748784696825,3.68420271841159,24.3592008509358,1000
B,12,30,10000,1,1000,rf,24.0372079542363,2.37450626505266,2.03393707168883,7.35675342016756,1000
B,12,50,10000,0.988,1000,reg,29.5694454340959,6.20598464668569,2.31923757530156,8.1974947057899,1000
B,12,50,10000,0.988,1000,rf,23.595907050773,1.85740168786183,1.33147266068625,2.5482575541246,1000
B,12,100,10000,0.899,1000,reg,25.116259320665,2.61806322458781,1.66535704458001,7.30957440607576,1000
B,12,100,10000,0.899,1000,rf,23.1792191075234,1.60269305851725,0.853017056585762,1.65881541694716,1000
B,12,500,10000,0.944,1000,reg,21.791046506513,0.877876035336306,0.167049177639414,0.226030902419779,1000
B,12,500,10000,0.944,1000,rf,20.2423866671659,1.25845196056233,0.590933194146206,0.817866856276514,1000
B,12,1000,10000,0.998,1000,reg,21.4171875191818,0.831119892651911,0.106014867938558,0.184606722695168,1000
B,12,1000,10000,0.998,1000,rf,18.1095668912468,1.27487009566795,-0.00700655807194332,0.733015343564004,1000
B,12,10000,10000,1,1000,reg,21.0737862930139,0.811556171207521,0.154204218698683,0.209016095079349,1000
B,12,10000,10000,1,1000,rf,10.095509350057,1.15689236606446,0.119767768832537,-0.213653931524699,1000
B,24,30,10000,1,1000,reg,269.824467278091,333.873391748018,8.43232415589008,102.96527835566,1000
B,24,30,10000,1,1000,rf,46.054676364904,3.67411744464854,2.28064223420973,10.5760773224255,1000
B,24,50,10000,1,1000,reg,84.1793759093918,24.9137333111981,2.57955252449487,13.3455933483156,1000
B,24,50,10000,1,1000,rf,46.020014918811,3.47050952582735,2.14934481297353,10.0012928125728,1000
